,date,frequency,date_time,date_int
303,2014-01-15 01:00:00,0,2014-01-15 01:00:00,20140115010000
304,2014-01-15 02:00:00,0,2014-01-15 02:00:00,20140115020000
305,2014-01-15 03:00:00,0,2014-01-15 03:00:00,20140115030000
306,2014-01-15 04:00:00,0,2014-01-15 04:00:00,20140115040000
307,2014-01-15 05:00:00,0,2014-01-15 05:00:00,20140115050000
308,2014-01-15 06:00:00,0,2014-01-15 06:00:00,20140115060000
309,2014-01-15 07:00:00,0,2014-01-15 07:00:00,20140115070000
310,2014-01-15 08:00:00,0,2014-01-15 08:00:00,20140115080000
311,2014-01-15 09:00:00,2,2014-01-15 09:00:00,20140115090000
312,2014-01-15 10:00:00,0,2014-01-15 10:00:00,20140115100000
313,2014-01-15 11:00:00,2,2014-01-15 11:00:00,20140115110000
314,2014-01-15 12:00:00,0,2014-01-15 12:00:00,20140115120000
315,2014-01-15 13:00:00,3,2014-01-15 13:00:00,20140115130000
316,2014-01-15 14:00:00,5,2014-01-15 14:00:00,20140115140000
317,2014-01-15 15:00:00,0,2014-01-15 15:00:00,20140115150000
318,2014-01-15 16:00:00,3,2014-01-15 16:00:00,20140115160000
319,2014-01-15 17:00:00,0,2014-01-15 17:00:00,20140115170000
320,2014-01-15 18:00:00,0,2014-01-15 18:00:00,20140115180000
321,2014-01-15 19:00:00,0,2014-01-15 19:00:00,20140115190000
322,2014-01-15 20:00:00,0,2014-01-15 20:00:00,20140115200000
323,2014-01-15 21:00:00,0,2014-01-15 21:00:00,20140115210000
324,2014-01-15 22:00:00,0,2014-01-15 22:00:00,20140115220000
325,2014-01-15 23:00:00,0,2014-01-15 23:00:00,20140115230000
326,2014-01-16 00:00:00,0,2014-01-16 00:00:00,20140116000000
327,2014-01-16 01:00:00,0,2014-01-16 01:00:00,20140116010000
328,2014-01-16 02:00:00,0,2014-01-16 02:00:00,20140116020000
329,2014-01-16 03:00:00,0,2014-01-16 03:00:00,20140116030000
330,2014-01-16 04:00:00,0,2014-01-16 04:00:00,20140116040000
331,2014-01-16 05:00:00,0,2014-01-16 05:00:00,20140116050000
332,2014-01-16 06:00:00,0,2014-01-16 06:00:00,20140116060000
333,2014-01-16 07:00:00,0,2014-01-16 07:00:00,20140116070000
334,2014-01-16 08:00:00,0,2014-01-16 08:00:00,20140116080000
335,2014-01-16 09:00:00,0,2014-01-16 09:00:00,20140116090000
336,2014-01-16 10:00:00,0,2014-01-16 10:00:00,20140116100000
337,2014-01-16 11:00:00,2,2014-01-16 11:00:00,20140116110000
338,2014-01-16 12:00:00,0,2014-01-16 12:00:00,20140116120000
339,2014-01-16 13:00:00,2,2014-01-16 13:00:00,20140116130000
340,2014-01-16 14:00:00,7,2014-01-16 14:00:00,20140116140000
